Похибка апроксимації |f(x) - φ(x)| для m = 1..4
       x |        m=1 |        m=2 |        m=3 |        m=4
  10.440 |     2.7007 |     3.9588 |     4.6831 |     0.6527
  10.487 |     2.9538 |     4.2175 |     4.9267 |     0.5047
  10.535 |     3.2069 |     4.4761 |     5.1700 |     0.3551
  10.583 |     3.4600 |     4.7346 |     5.4130 |     0.2037
  10.631 |     3.7131 |     4.9929 |     5.6558 |     0.0506
  10.679 |     3.9662 |     5.2510 |     5.8984 |     0.1043
  10.727 |     4.2192 |     5.5091 |     6.1407 |     0.2609
  10.775 |     4.4723 |     5.7670 |     6.3828 |     0.4194
  10.823 |     4.7254 |     6.0248 |     6.6246 |     0.5797
  10.871 |     4.9785 |     6.2824 |     6.8663 |     0.7418
  10.919 |     5.2316 |     6.5399 |     7.1077 |     0.9058
  10.967 |     5.4847 |     6.7973 |     7.3488 |     1.0717
  11.015 |     5.7377 |     7.0546 |     7.5898 |     1.2395
  11.062 |     5.9908 |     7.3117 |     7.8305 |     1.4092
  11.110 |     6.2439 |     7.5687 |     8.0710 |     1.5809
  11.158 |     6.4970 |     7.8255 |     8.3113 |     1.7545
  11.206 |     6.7501 |     8.0823 |     8.5513 |     1.9301
  11.254 |     7.0032 |     8.3388 |     8.7912 |     2.1078
  11.302 |     7.2562 |     8.5953 |     9.0309 |     2.2874
  11.350 |     7.5093 |     8.8516 |     9.2703 |     2.4691
  11.398 |     7.7624 |     9.1078 |     9.5096 |     2.6529
  11.446 |     8.0155 |     9.3639 |     9.7486 |     2.8387
  11.494 |     8.2686 |     9.6198 |     9.9875 |     3.0266
  11.542 |     8.5217 |     9.8756 |    10.2262 |     3.2166
  11.590 |     8.7747 |    10.1313 |    10.4647 |     3.4088
  11.637 |     9.0278 |    10.3868 |    10.7030 |     3.6030
  11.685 |     9.2809 |    10.6422 |    10.9411 |     3.7994
  11.733 |     9.5340 |    10.8975 |    11.1790 |     3.9980
  11.781 |     9.7871 |    11.1526 |    11.4168 |     4.1987
  11.829 |    10.0402 |    11.4076 |    11.6543 |     4.4016
  11.877 |    10.2932 |    11.6625 |    11.8918 |     4.6066
  11.925 |    10.5463 |    11.9172 |    12.1290 |     4.8139
  11.973 |    10.7994 |    12.1718 |    12.3661 |     5.0234
  12.021 |    11.1567 |    12.5304 |    12.7072 |     5.3392
  12.069 |    11.6493 |    13.0244 |    13.1835 |     5.7927
  12.117 |    12.1420 |    13.5182 |    13.6597 |     6.2485
  12.165 |    12.6347 |    14.0118 |    14.1357 |     6.7064
  12.212 |    13.1273 |    14.5053 |    14.6115 |     7.1667
  12.260 |    13.6200 |    14.9987 |    15.0873 |     7.6291
  12.308 |    14.1127 |    15.4920 |    15.5628 |     8.0938
  12.356 |    14.6053 |    15.9851 |    16.0383 |     8.5608
  12.404 |    15.0980 |    16.4781 |    16.5136 |     9.0301
  12.452 |    15.5907 |    16.9710 |    16.9887 |     9.5016
  12.500 |    16.0833 |    17.4637 |    17.4637 |     9.9754
  12.548 |    16.5760 |    17.9563 |    17.9386 |    10.4515
  12.596 |    17.0687 |    18.4488 |    18.4134 |    10.9299
  12.644 |    17.5613 |    18.9411 |    18.8880 |    11.4106
  12.692 |    18.0540 |    19.4333 |    19.3625 |    11.8935
  12.740 |    18.5467 |    19.9254 |    19.8369 |    12.3787
  12.787 |    19.0393 |    20.4173 |    20.3111 |    12.8662
  12.835 |    19.5320 |    20.9091 |    20.7853 |    13.3560
  12.883 |    20.0247 |    21.4008 |    21.2593 |    13.8481
  12.931 |    20.5173 |    21.8924 |    21.7332 |    14.3425
  12.979 |    21.0100 |    22.3838 |    22.2071 |    14.8391
  13.027 |    20.8798 |    22.2521 |    22.0579 |    14.7152
  13.075 |    20.2703 |    21.6412 |    21.4294 |    14.1143
  13.123 |    19.6609 |    21.0301 |    20.8008 |    13.5157
  13.171 |    19.0515 |    20.4189 |    20.1722 |    12.9194
  13.219 |    18.4421 |    19.8076 |    19.5434 |    12.3253
  13.267 |    17.8327 |    19.1961 |    18.9146 |    11.7335
  13.315 |    17.2233 |    18.5845 |    18.2856 |    11.1440
  13.362 |    16.6138 |    17.9728 |    17.6566 |    10.5567
  13.410 |    16.0044 |    17.3609 |    17.0275 |     9.9716
  13.458 |    15.3950 |    16.7489 |    16.3984 |     9.3888
  13.506 |    14.7856 |    16.1368 |    15.7691 |     8.8082
  13.554 |    14.1762 |    15.5245 |    15.1398 |     8.2299
  13.602 |    13.5668 |    14.9122 |    14.5104 |     7.6537
  13.650 |    12.9573 |    14.2996 |    13.8809 |     7.0797
  13.698 |    12.3479 |    13.6870 |    13.2514 |     6.5080
  13.746 |    11.7385 |    13.0742 |    12.6218 |     5.9384
  13.794 |    11.1291 |    12.4613 |    11.9922 |     5.3710
  13.842 |    10.5197 |    11.8482 |    11.3625 |     4.8057
  13.890 |     9.9103 |    11.2350 |    10.7327 |     4.2426
  13.937 |     9.3008 |    10.6217 |    10.1029 |     3.6816
